epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,836.347,1.42575,3.35066,1.77821,1.43677,0,0.50714,0.50277,0.45974,0.29011,0.52958,0.47195,0.45255,0.24677,1.30334,2.57951,1.51059,1.29399,0,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061
70,845.51,1.41557,3.37909,1.77615,1.43425,0,0.51232,0.49305,0.46366,0.28767,0.52436,0.46713,0.45652,0.24992,1.31302,2.58748,1.50914,1.29836,0,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062
71,854.446,1.3982,3.28019,1.74142,1.41345,0,0.49203,0.50331,0.4576,0.28739,0.51027,0.47313,0.45152,0.24793,1.30515,2.57715,1.51951,1.30247,0,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
72,863.862,1.42946,3.36794,1.7682,1.42925,0,0.49643,0.51255,0.45386,0.28202,0.48928,0.49896,0.44734,0.24459,1.30475,2.58319,1.51105,1.3009,0,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064
73,872.623,1.40055,3.3674,1.76706,1.42788,0,0.48952,0.49172,0.45326,0.28155,0.48201,0.48021,0.44734,0.2456,1.31368,2.57938,1.5255,1.30603,0,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065
74,881.764,1.38445,3.33411,1.73244,1.4123,0,0.50621,0.47983,0.45464,0.28552,0.50941,0.47454,0.44859,0.24678,1.30525,2.5713,1.51701,1.29834,0,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066
75,890.817,1.43386,3.39865,1.76854,1.44899,0,0.51364,0.47843,0.45685,0.28763,0.51087,0.47292,0.45087,0.25014,1.29771,2.56145,1.51169,1.29592,0,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067
76,900.036,1.38986,3.29683,1.72373,1.40961,0,0.46984,0.49987,0.45694,0.29085,0.49647,0.45132,0.44858,0.24861,1.30329,2.56222,1.51872,1.30134,0,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
77,909.007,1.37019,3.25536,1.71217,1.40463,0,0.53147,0.46819,0.45616,0.28949,0.53574,0.46569,0.45215,0.24879,1.30706,2.57373,1.51598,1.3016,0,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068
78,918.06,1.3987,3.30981,1.73322,1.41813,0,0.53165,0.47063,0.45293,0.2884,0.52812,0.46513,0.44679,0.24887,1.30018,2.56061,1.51082,1.29866,0,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069
